PracNo,PracticeName,Address1,Address2,Address3,Postcode,LCG,Registered_Patients
1,Dr. HOEY & PARTNERS                 ,HARLAND MEDICAL PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BT4 1NS,Belfast,6670
3,Dr. MCCUTCHEON & PARTNERS           ,GREENWAY PRACTICE,HOLYWOOD ARCHES HC 2ND FLOOR,WESTMINSTER AVENUE,BT4 1NS,Belfast,7091
6,Dr. MCIVOR & PARTNERS               ,CARRYDUFF SURGERY,HILLSBOROUGH ROAD,CARRYDUFF,BT8 8HR,Belfast,11499
10,Dr. WILSON & PARTNER                ,DR WILSON & PARTNER,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BT5 4PX,Belfast,2368
13,Dr. COOGAN                          ,DR COOGAN,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BT5 4PX,Belfast,3226
14,Dr. COULTER & PARTNERS              ,KERRSLAND SURGERY,169 UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3HZ,Belfast,8538
15,Dr. CUMMINGS & PARTNERS             ,HOLYWOOD ROAD SURGERY,54 HOLYWOOD ROAD,BELFAST,BT4 1NT,Belfast,5535
16,Dr. MCCANN & PARTNERS               ,KNOCK MEDICAL CENTRE,423B UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3LH,Belfast,6225
17,Dr. MERCER & PARTNERS               ,"Drs SCOTT, MERCER AND LARGE",HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BT4 1NS,Belfast,5417
18,Dr. MCCONVILLE & PARTNERS           ,BRIDGES FAMILY PRACTICE,2-6 BRYSON STREET,BELFAST,BT5 4ES,Belfast,7511
19,Dr. MITCHELL & PARTNERS             ,LINEN COURT SURGERY,336 BEERSBRIDGE ROAD,BELFAST,BT5 5DY,Belfast,4428
20,Dr. LUA & PARTNERS                  ,LEWIS SQUARE PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BT4 1NS,Belfast,4125
24,Dr. MCCLOSKEY & PARTNERS            ,THE MOUNT GROUP PRACTICE,50 CASTLEREAGH STREET,BELFAST,BT5 4NH,Belfast,4116
28,Dr. GALLAGHER & PARTNERS            ,THE VICTORIA PRACTICE,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BT4 1NS,Belfast,3335
29,Dr. SAVAGE & PARTNERS               ,CASTLEREAGH MEDICAL CENTRE,21 BALLYGOWAN ROAD,BELFAST,BT5 7LH,Belfast,5109
30,Dr. THOMPSON & PARTNER              ,EASTSIDE SURGERY,56 TEMPLEMORE AVENUE,BELFAST,BT5 4FT,Belfast,2733
31,Dr. COOKE & PARTNERS                ,DUNDONALD MEDICAL CENTRE,16 CHURCH ROAD,"DUNDONALD, BELFAST",BT16 2LN,Belfast,7315
32,Dr. KELLY & PARTNERS                ,WILLOWFIELD SURGERY,50/52 CASTLEREAGH ROAD,BELFAST,BT5 5FP,Belfast,4057
